NO,Compounds SMILES formula,pic50
1,C1=C(NC(=O)C(=C1C1=CN=CC=C1)C#N)C1=CN=CC=C1,4.2
2,C1=C(NC(=O)C(=C1C1=CN=CC=C1)C#N)C1=NC=CC=C1,4.18
3,C1=C(NC(=O)C(=C1C1=CN=CC=C1)C#N)C1=CC=C(C=C1)C,4.19
4,C1=C(NC(=O)C(=C1C1=CN=CC=C1)C#N)C1=CC(=CC=C1)Cl,4.55
5,C1=C(NC(=O)C(=C1C1=CC=NC=C1)C#N)C1=NC=CC=C1,4.25
6,C1=C(NC(=O)C(=C1C1=CC=NC=C1)C#N)C1=CN=CC=C1,4.27
7,C1=C(NC(=O)C(=C1C1=CC=NC=C1)C#N)C1=CC=C(C=C1)C,4.49
8,C1=C(NC(=O)C(=C1C1=CC=NC=C1)C#N)C1=CC=C(C=C1)Cl,4.75
9,C1=C(NC(=O)C(=C1C1=CC=CO1)C#N)C1=NC=CC=C1,4.37
10,C1=C(NC(=O)C(=C1C1=CC=CO1)C#N)C1=CC=C(C=C1)Cl,4.58
11,C1=C(NC(=O)C(=C1C1=C(C=CC(=C1)[N+](=O)[O-])Cl)C#N)C1=NC=CC=C1,4.94
12,C1=C(NC(=O)C(=C1C1=C(C=CC(=C1)[N+](=O)[O-])Cl)C#N)C1=CN=CC=C1,4.97
13,C1=C(NC(=O)C(=C1C1=C(C=CC(=C1)[N+](=O)[O-])Cl)C#N)C1=CC=C(C=C1)C,5.04
14,C1=C(NC(=O)C(=C1C1=C(C=CC(=C1)[N+](=O)[O-])Cl)C#N)C1=CC=C(C=C1)Cl,4.66
15,C1=C(NC(=O)C(=C1C1=C(C=CC(=C1)[N+](=O)[O-])Cl)C#N)C1=CC(=CC=C1)Cl,4.66
16,C1=C(NC(=O)C(=C1C1=CC=CC(=C1)[N+](=O)[O-])C#N)C1=NC=CC=C1,4.65
17,C1=C(NC(=O)C(=C1C1=CC=CC(=C1)[N+](=O)[O-])C#N)C1=CN=CC=C1,4.59
18,C1=C(NC(=O)C(=C1C1=CC=CC(=C1)[N+](=O)[O-])C#N)C1=CC=C(C=C1)C,4.4
19,C1=C(NC(=O)C(=C1C1=CC=CC(=C1)[N+](=O)[O-])C#N)C1=CC=C(C=C1)Cl,4.65
20,C1=C(NC(=O)C(=C1C1=CC=CC(=C1)[N+](=O)[O-])C#N)C1=CC(=CC=C1)Cl,4.64
21,C1=C(NC(=O)C(=C1C1=CC=C(C=C1)Cl)C#N)C1=CN=CC=C1,4.73
22,C1=C(NC(=O)C(=C1C1=CC=C(C=C1)Cl)C#N)C1=CC=C(C=C1)C,4.67
23,C1=C(NC(=O)C(=C1C1=CC=C(C=C1)Cl)C#N)C1=CC=C(C=C1)Cl,4.71
24,C1=C(NC(=O)C(=C1C1=CC=C(C=C1)Cl)C#N)C1=CC(=CC=C1)Cl,4.69
25,C1=C(NC(=O)C(=C1C1=CC=CC=C1F)C#N)C1=NC=CC=C1,4.3
26,C1=C(NC(=O)C(=C1C1=CC=CC=C1F)C#N)C1=CN=CC=C1,4.33
27,C1=C(NC(=O)C(=C1C1=CC=CC=C1F)C#N)C1=CC=C(C=C1)Cl,4.3
28,C1=C(NC(=O)C(=C1C1=CC=CC=C1F)C#N)C1=CC(=CC=C1)Cl,4.45
29,C1=C(NC(=O)C(=C1C1=CC(=CC=C1F)Br)C#N)C1=NC=CC=C1,4.21
30,C1=C(NC(=O)C(=C1C1=CC(=CC=C1F)Br)C#N)C1=CN=CC=C1,4.24
31,C1=C(NC(=O)C(=C1C1=CC(=CC=C1F)Br)C#N)C1=CC=C(C=C1)Cl,4.3
32,C1=C(NC(=O)C(=C1C1=CC(=CC=C1F)Br)C#N)C1=CC(=CC=C1)Cl,4.35
